Code.INSEE,Code.postal,Libellé.géographique,Dep,occurrence,total.Club.sportif,Population,TauxBac,Salaire,TauxChomage,TauxOuvrier,StatutCommune
22391,22350,Yvignac-la-Tour,22,1,2,1191,33.1843575419,15663,7.49506903353,34.7140039448,R
23006,23210,Arrènes,23,1,2,225,32.1243523316,14940,14.1025641026,5.12820512821,R
24053,24750,Boulazac Isle Manoire,24,4,14,3341,41.6769420469,19733,11.3479623824,23.5736677116,B
24102,24650,Chancelade,24,1,9,4233,36.0465116279,19866,6.45161290323,22.6335272343,B
24138,24660,Coulounieix-Chamiers,24,1,25,2443,39.113785558,20766,6.82392586352,20.7245155855,B
24256,24430,Marsac-sur-l'Isle,24,1,12,3005,29.0843806104,17985,7.78773259821,27.0158511371,B
24301,24590,Nadaillac,24,1,NA,339,26.2773722628,15274,6.66666666667,17.7777777778,R
24322,24000,Périgueux,24,3,93,2439,41.7545807885,15494,12.8289473684,26.8914473684,C
24413,24130,Saint-Georges-Blancaneix,24,1,2,227,30.8139534884,17078,9.52380952381,31.4285714286,R
24441,24560,Saint-Léon-d'Issigeac,24,1,NA,117,28.4210526316,15598,11.5384615385,30.7692307692,R
24442,24110,Saint-Léon-sur-l'Isle,24,1,6,2013,24.5003223727,16742,13.3333333333,30.4402515723,R
25054,25420,Berche,25,1,1,460,34.693877551,20713,5.68720379147,24.644549763,R
25056,25000,Besançon,25,7,277,2550,44.106167057,16381,12.4548736462,26.6245487365,C
25105,25320,Byans-sur-Doubs,25,1,2,573,35.4312354312,17456,6.27177700348,33.4494773519,R
25254,25300,Les Fourgs,25,2,4,1183,36.2369337979,20487,4.92845786963,40.2225755167,R
25526,25630,Sainte-Suzanne,25,1,6,1493,33.8221814849,17177,10.0418410042,30.5439330544,B
25547,25600,Sochaux,25,1,11,2164,26.461345066,14984,19.165085389,45.9203036053,B
25555,25400,Taillecourt,25,1,3,1031,41.1619283066,21443,8.28729281768,30.2025782689,B
26058,26500,Bourg-lès-Valence,26,3,43,3302,29.8717418287,17402,8.64533696392,27.3655547992,B
26064,26120,Chabeuil,26,2,23,3268,46.5635738832,19932,6.94618272841,18.085106383,I
26084,26300,Châteauneuf-sur-Isère,26,1,7,3707,37.3214974913,17885,6.81318681319,24.1758241758,R
26104,26510,Cornillac,26,1,1,86,43.8356164384,13403,9.67741935484,38.7096774194,R
26148,26390,Hauterives,26,1,7,1625,33.8345864662,16903,6.8115942029,22.6086956522,R
26156,26600,Larnage,26,2,3,989,44.1307578009,19707,9.07216494845,23.0927835052,R
26165,26250,Livron-sur-Drôme,26,1,25,4072,35.7804459691,17152,11.5810674723,28.5498489426,C
26198,26200,Montélimar,26,1,96,2424,35.2164730729,12531,24.3355481728,31.561461794,C
26259,26330,Ratières,26,1,2,274,43.2558139535,17736,6.92307692308,21.5384615385,R
26281,26100,Romans-sur-Isère,26,2,80,2944,35.5916892502,14235,20.0701754386,31.5789473684,C
26350,26220,Teyssières,26,1,21,84,39.7260273973,16788,8.33333333333,47.2222222222,R
26360,26230,Valaurie,26,1,5,531,47.4452554745,19962,7.45098039216,25.0980392157,R
26362,26000,Valence,26,8,70,3413,50.2617801047,21840,9.7995545657,14.5508537491,C
27297,27240,NA,NA,1,2,NA,NA,NA,NA,NA,R
27299,27930,Gravigny,27,1,17,4084,34.4056891297,18222,10.1944049312,28.4495021337,B
27340,27310,Honguemare-Guenouville,27,1,1,586,36.7205542725,21717,8.22368421053,25.6578947368,R
27383,27130,Mandres,27,1,1,346,33.5820895522,20402,9.25925925926,41.3580246914,R
27403,27400,Le Mesnil-Jourdain,27,1,2,233,40.5714285714,22886,9.32203389831,23.7288135593,R
27497,27350,Rougemontiers,27,1,1,897,29.0625,18795,9.36768149883,33.7236533958,R
27528,27100,Le Vaudreuil,27,2,10,3618,43.6571428571,21135,11.496149615,24.4774477448,B
27568,27190,Sainte-Marthe,27,1,1,445,30.6306306306,19510,6.06060606061,20.7792207792,R
27597,27210,Saint-Pierre-du-Val,27,1,1,540,36.5789473684,18544,8.23529411765,25.0980392157,B
27629,27230,Thiberville,27,1,7,1761,20.947446336,15339,13.025210084,39.6358543417,R
27676,27940,Les Trois Lacs,27,1,NA,782,37.8472222222,22499,7.59493670886,25.0632911392,R
28085,28000,Chartres,28,2,100,2227,41.3925438596,23248,5.01635768811,13.5223555071,C
28134,28100,Dreux,28,1,56,1975,21.0562890896,13218,21.25,37.5,C
28339,28190,Saint-Germain-le-Gaillard,28,1,1,315,35.4260089686,21370,4.90797546012,26.9938650307,R
29010,29400,Bodilis,29,1,2,1555,41.0825199645,17723,5.3751399776,30.7950727884,R
29039,29900,Concarneau,29,5,44,3674,36.8779090584,18732,12.6436781609,28.4936479129,C
29135,29750,Loctudy,29,2,10,4207,37.8176382661,19214,10.251450677,25.918762089,C
29153,29920,Névez,29,1,8,2718,35.6060606061,19031,12.9883843717,26.6103484688,R
29161,29170,Pleuven,29,1,2,2636,40.5775075988,19789,9.01432181971,24.9368155013,B
29171,29120,Plomeur,29,3,11,3634,35.8525009127,18044,10.1388050694,31.8648159324,C
29178,29830,Ploudalmézeau,29,1,21,6225,38.1067961165,18158,7.71328398909,24.7760031165,I
29192,29250,Plougoulm,29,1,5,1805,30.5821665438,16808,8.9696969697,29.2121212121,R
29195,29880,Plouguerneau,29,1,9,2950,35.0310008857,17257,8.83977900552,29.2817679558,C
29205,29270,Plounévézel,29,1,6,1151,41.0011918951,17556,4.35606060606,23.4848484848,B
29214,29720,Plovan,29,1,1,684,45.0184501845,15625,10.9022556391,24.8120300752,R
29230,29310,Querrien,29,1,3,1685,33.0268199234,15759,14.3661971831,27.4647887324,R
29232,29000,Quimper,29,4,119,1720,56.58105939,20917,11.7326057299,10.2319236016,C
